MAZE 72 144
 35  36  36  36
 60  64  60  65
 45  14  46  14
 62   1  63   1
 46 133  47 133
  1 100   1 101
 30 124  31 124
 67  71  67  72
 27 106  28 106
 48 131  49 131
 67 139  68 139
 59  14  60  14
 28  53  28  54
 16  64  17  64
 34 125  35 125
 53 123  54 123
  9  96  10  96
 63  64  64  64
 44  34  44  35
 19 138  20 138
 65 138  66 138
 70  76  71  76
 53  84  54  84
 55  74  56  74
 18 128  19 128
 71  39  71  40
 67  54  68  54
 68  29  69  29
 23 128  24 128
 18  75  19  75
 27   8  28   8
 60 112  60 113
 31  66  32  66
 42  26  42  27
 46 104  47 104
 32  66  33  66
 16  80  16  81
 63  98  64  98
 66  56  67  56
 24  42  24  43
 61  40  61  41
 24  47  24  48
 34  35  34  36
 53  71  54  71
 57  91  58  91
 45  35  46  35
 45  74  45  75
 50  88  51  88
 23  27  23  28
 43  43  44  43
 41  21  42  21
 33  97  34  97
 47  23  48  23
 33  47  33  48
 36   5  36   6
 36  85  36  86
 11   5  11   6
 65  26  66  26
 18  51  19  51
 43   5  44   5
 36  35  37  35
  7  45   8  45
 17  82  18  82
 24  34  25  34
 53 120  53 121
  6 111   6 112
 26 134  26 135
 11   9  11  10
 28 117  29 117
 71  92  71  93
 67  26  67  27
 59 105  60 105
 43  46  43  47
 28  17  29  17
 45  29  46  29
 33  78  33  79
 69  88  69  89
 24  52  24  53
 42   3  42   4
 30  43  30  44
 40  14  40  15
 15  24  15  25
 24  70  25  70
 66  19  67  19
 63  25  63  26
 53   7  54   7
 19   7  19   8
  6  80   7  80
  0  21   0  22
  1   8   2   8
 27  39  27  40
 17  98  18  98
 24  32  25  32
  2  79   3  79
  3  82   4  82
 45 106  46 106
 36  49  36  50
 53  49  54  49
 15 134  16 134
 39 102  39 103
 69  53  70  53
 25  57  25  58
 67  56  68  56
 27  75  27  76
 26  85  26  86
 68 129  68 130
 61   8  62   8
 49 100  50 100
 55  71  56  71
 11  43  11  44
 54 112  54 113
  0   1   1   1
 67 133  67 134
 38   4  38   5
 22  76  23  76
 45 106  45 107
 37  68  38  68
 51  18  52  18
 33  49  34  49
 36  80  36  81
 46  81  47  81
 34 121  34 122
 40   4  41   4
 16  24  17  24
 70  73  70  74
  9  10  10  10
  4 100   4 101
 36   4  37   4
  5 133   6 133
 31 131  32 131
 25  34  26  34
  8  83   9  83
 54  82  55  82
 37  83  37  84
 30  81  30  82
 44  97  44  98
 52  38  53  38
 25 138  26 138
 38  23  39  23
 42 136  43 136
 25  45  26  45
  6   6   7   6
 60  50  61  50
 63 129  63 130
 39  60  39  61
 33  44  34  44
 48  36  48  37
 42  21  43  21
 45  34  45  35
 10  44  11  44
 51 139  51 140
